Port_ID,Total_Invested,Total_Profit,ROI,PnL,Sharpe_Ratio,Win_Positions,Total_Positions,Win_Rate,MDD,ROI_Normalized,PnL_Normalized,Sharpe_Ratio_Normalized,Win_Rate_Normalized,MDD_Normalized,Weighted_Score,Rank
3768170840939476993,766.6038269999999,243.66889897,31.78550515767253,243.66889897,0.4242774564031249,6,14,42.857142857142854,0.0,1.0,0.003384344039144556,0.6284647680638928,0.5339705502454145,1.0,0.48010531184906335,1.0
3826087012661391104,3032.332094,532.65697373,17.56591815203734,532.65697373,0.6751014185094156,63,108,58.333333333333336,12.925980130000028,0.5526392632396845,0.0073981310769325875,1.0,0.7267932489451476,0.9993942286473939,0.396015046648729,2.0
4020204877254599680,11363767.475487798,71998.85595307,0.6335826222102402,71998.85595307,0.060748033614844925,1993,6050,32.94214876033058,21338.051187779958,0.019933067574900664,1.0,0.08998356683796195,0.4104365369958005,0.0,0.36701359409713274,3.0
3999240873283311617,3894158.0954680997,42574.473678790004,1.093290838097633,42574.473678790004,0.22750533430745368,2366,4522,52.32198142414861,300.81384848999915,0.03439589311777005,0.5913215302551574,0.33699430644031547,0.6518959349229365,0.9859024685130444,0.2251530242527075,4.0
4039129759104249600,19356.7475,1264.28919972,6.531516721597985,1264.28919972,0.5220426060771436,59,133,44.3609022556391,0.0,0.2054872712954627,0.01755985123630414,0.7732802683629122,0.5527063590259554,1.0,0.19738955346425432,5.0
3986814617275053313,969009.054199,16337.46188064,1.685996824265469,16337.46188064,0.32978656861679667,2780,3554,78.22172200337648,2.3819474699994316,0.05304294570440374,0.22691279832680977,0.4884992974017831,0.9745889052500252,0.9998883708990555,0.184460930695258,6.0
3956048468100538880,51031.0155,1373.56489,2.691627584796936,1373.56489,0.524861880311556,20,28,71.42857142857143,0.0,0.0846809755404255,0.019077593273083556,0.7774563434786144,0.889950917075691,1.0,0.18408202860138725,7.0
3944658614777849089,29044.02184,2074.4499799600003,7.142433618139712,2074.4499799600003,0.4074903672652917,20,45,44.44444444444444,0.0,0.22470725516896933,0.028812263090849107,0.6035987424896937,0.5537472372915411,1.0,0.1746210532219353,8.0
4022641794255717633,60555.8518072,2176.83382376,3.5947538657216573,2176.83382376,0.558737617842448,2634,6052,43.52280237937872,115.99559387999989,0.11309412412638467,0.030234283516656083,0.8276350819645854,0.5422642104772502,0.9945639087253465,0.17460498127365814,9.0
3891020560590657281,73072.0626997,2856.30056379,3.9088818055244614,2856.30056379,0.4324770259531958,283,437,64.75972540045767,0.0,0.1229768659058394,0.03967147152521121,0.6406104536235159,0.806861678135901,1.0,0.16990044635819243,10.0
4035430878731345664,64037.893990000004,2493.75041995,3.894179312548001,2493.75041995,0.4696392626687299,43,89,48.31460674157304,0.0,0.1225143125217252,0.03463597284900563,0.6956573483516979,0.6019668000894,1.0,0.1587246665426714,11.0
3977234346014419201,28369.709627000004,2427.2928308600003,8.55593117720845,2427.2928308600003,0.3047358693024749,33,83,39.75903614457831,0.0,0.26917713387805575,0.03371293611168139,0.45139272551865445,0.49537026950478213,1.0,0.15760030643893583,12.0
4029749871687083265,55921.4847,3662.13654822,6.548711229442733,3662.13654822,0.3538772369515272,367,856,42.873831775700936,0.0,0.20602822566316759,0.05086381581683796,0.5241838148301737,0.5341784827026752,1.0,0.1559250462466207,13.0
3907081197088384000,822097.0044959,18015.997370259996,2.1914685580574753,18015.997370259996,0.2227292925910845,2540,4137,61.39714769156394,2060.707122380003,0.0689455318449922,0.25022616167683426,0.32991975203200985,0.7649662705151455,0.9034257109871334,0.15478406760025032,14.0
3936410995029308417,179350.0,10681.514000000001,5.955681070532479,10681.514000000001,0.29898370047919265,6,20,30.0,0.0,0.1873709743164132,0.14835671843122594,0.4428722741233919,0.3737793851717902,1.0,0.1454077985977905,15.0
4029422834086627072,106468.56514,2799.9025498399997,2.62979269623695,2799.9025498399997,0.5116182899882394,38,102,37.254901960784316,0.0,0.0827355954606296,0.0388881533293393,0.7578391571415487,0.4641704783179094,1.0,0.14274556344315434,16.0
4028701921959171840,2204052.5057,17601.40139824,0.7985926538828008,17601.40139824,0.27572387832983053,373,687,54.29403202328966,585.6775999300007,0.025124428569606446,0.24446779278983088,0.40841845502059926,0.6764663302720899,0.9725524325171077,0.13546519004440993,17.0
4039279455324236544,65391.88208,1038.8074192600002,1.588587736302084,1038.8074192600002,0.4716836338542194,181,327,55.35168195718655,0.0,0.04997836996523629,0.014428110079097804,0.6986855914118344,0.689643921672722,1.0,0.13302129145946293,18.0
3943533600390906881,111884.47794340001,2361.4245720499994,2.110591759872709,2361.4245720499994,0.42807920222246326,964,1759,54.80386583285958,32.30352141000003,0.06640107650965694,0.032798084647195136,0.6340961379812192,0.6828185092014512,0.9984861072304251,0.13165232379136776,19.0
4041860229502600193,85739.66300000002,2327.33599982,2.71442167882092,2327.33599982,0.4571934663380226,38,97,39.175257731958766,0.0,0.0853980978233942,0.03232462473205122,0.6772219014847858,0.4880967916332656,1.0,0.12811068600925676,20.0
